Type	Chat
general	ThÕ gian nµy nguy hiÓm nhÊt lµ lßng ng­êi
general	Bang m×nh nhÊt ®Şnh cã néi gi¸n
general	§ªm nay ngñ ë ®©u?
general	C« c«, ta yªu ng­¬i
general	Kh«ng bù nh­ng mµ móp
general	Cã thÓ gi¶m cho ta chót İt?
general	Ng­¬i cã l­¬ng t©m kh«ng?
general	Cuéc ®êi lªn voi xuèng chã
general	Ta hËn thiªn
general	Anh kh¹c hay em kh¹c
general	ThËt chãi chang
general	Sau c¬n m­a trêi l¹i s¸ng
general	Mua 2 tÆng 1 ®©y
general	Tan chî cmnr
general	ChiÕc dĞp rít ®©u mÊt tiªu råi
general	Ng­êi yªu yÕu sinh lİ qu¸
general	C¸c h¹ cho ta hái th¨m...
general	ZÌ zĞ ze
general	ó lµ la
general	ChuyÖn nµy tÊt cã mê ¸m
general	Cã viÖc g× cho ta lµm kh«ng?
general	ThiÕu thiÕu c¸i g× ®ã
general	Cã m¸u cã thŞt, v× sao v« t×nh
general	ThËt lµ thÊm thİa
general	Khãc kh«ng thµnh tiÕng
general	ViÖc vui kh«ng chØ cã mét
general	L¹i 10 n¨m tr«i qua
general	GiËn råi!
general	Tau thİch mi
general	§ang mÖt nha, ®õng cã chäc
general	Tiªn tö, xin tù träng
general	Con ®­êng t­¬ng lai thËt t­¬i s¸ng
general	Ng­¬i cã lßng tù träng sao?
general	Ca, ta nhí ng­¬i
general	ThÌm chua qu¸ trêi
general	Ai ®¸nh em ta?
general	3 ngµy råi ch­a t¾m, thói qu¾c lu«n
general	C¶ ngµy ch­a ®­îc ¨n g×
general	Míi bŞ giËt hôi
general	Huynh ®Ö, cho ta chót mÆt mòi
general	ChuyÖn l¹ cã thËt
general	G¹o nÊu thµnh c¬m mÊt råi
general	Cßn kh«ng trÔ
general	Lµm sao ®Ó t×m ®­îc nµng?
general	H¾t x× h¬iiii
general	§øng im, ®õng nhóc nhİch
general	Ca nµy khã!
general	Cã sao th× sèng vËy
general	Nhµ giµu mµ keo kiÖt
general	ThËt h©m mé Do·n Chİ B×nh
general	Ta muèn ®i ngñ
general	Cê b¹c lµ b¸c th»ng bÇn
general	BÇn cïng sinh ®¹o tÆc a
general	BiÕt vËy ta gia nhËp Vâ §ang
general	BiÕt vËy ta gia nhËp Thóy Yªn
general	BiÕt vËy ta gia nhËp Nga Mi
general	BiÕt vËy ta gia nhËp ThiÕu L©m
general	BiÕt vËy ta gia nhËp Thiªn V­¬ng Bang
general	BiÕt vËy ta gia nhËp Ngò §éc Gi¸o
general	BiÕt vËy ta gia nhËp §­êng M«n
general	BiÕt vËy ta gia nhËp C¸i Bang
general	BiÕt vËy ta gia nhËp Thiªn NhÉn Gi¸o
general	BiÕt vËy ta gia nhËp C«n L«n Ph¸i
general	BiÕt vËy ta gia nhËp Hoa S¬n
general	BiÕt vËy ta gia nhËp Vò Hån
general	BiÕt vËy ta gia nhËp Tiªu Dao
general	C¸i Bang thiªn h¹ v« ®Şch thñ
general	ThiÕu L©m thiªn h¹ v« ®Şch thñ
general	Thiªn V­¬ng Bang thiªn h¹ v« ®Şch thñ
general	Ngò §éc Gi¸o thiªn h¹ v« ®Şch thñ
general	§­êng M«n thiªn h¹ v« ®Şch thñ
general	Thiªn NhÉn thiªn h¹ v« ®Şch thñ
general	Nga Mi thiªn h¹ v« ®Şch thñ
general	Vâ §ang thiªn h¹ v« ®Şch thñ
general	C«n L«n thiªn h¹ v« ®Şch thñ
general	Tiªu Dao thiªn h¹ v« ®Şch thñ
general	Vò Hån thiªn h¹ v« ®Şch thñ
general	Hoa S¬n thiªn h¹ v« ®Şch thñ
general	Nghe nãi, ngµy mai cã Hoa S¬n luËn kiÕm
general	ThÌm M× VŞt TiÒm qu¸
general	ThÌm Hñ TiÕu qu¸
general	ThÌm Phë qu¸
general	ThÌm Heo Quay qu¸
general	ThÌm Cua qu¸
general	ThÌm g¸i qu¸
general	ThÌm SÇu Riªng ghª
general	Muèn ¨n xiªn que
general	Muèn ¨n thŞt n­íng
general	R¨ng s©u mÊt råi
general	§ang bŞ viªm häng
general	ThÌm gµ n­íng qu¸
general	L©u råi ch­a ®i nhËu
general	Tèi nay cã r·nh kh«ng
general	§Şnh tèi nay ®i ¨n trém
general	Lµm nh­ vËy ®ñ råi
general	Vâ c«ng d¹o nµy tiÕn bé chËm qu¸
general	10 n¨m rÌn s¸ch l¹i thi rít
general	Tuét hÕt c¶ høng
general	§Ó vî lªn ®Çu chÕt a
general	§Ó vî lªn ®Çu tr­êng sinh bÊt tö nha
general	D¹o nµy kh«ng cã ®i lµm
general	Cha ta d¹o nµy vÉn kháe
general	MÑ ta vÉn tèt
general	Nµo r¶nh ghĞ nhµ ta ch¬i
general	Tû cña ta ngµy cµng xinh ®Ñp
general	§i bé mái ch©n thËt
general	VËt gi¸ ngµy cµng leo thang
general	L­¬ng cµng ngµy cang İt
general	Kinh tÕ thËt khã kh¨n
general	Ng­¬i vÉn æn ®ã chø
general	§¹i s­ tû, ng­¬i ë ®©u
general	S­ phô tha thø cho ng­¬i
general	§Ö ®Ö, ®i thanh l©u kh«ng?
general	1 ®ªm, 2 xŞ
general	D­îng ta ngo¹i t×nh, d× ta ®ang khãc
general	Vî ta ®ang cã thai
general	T×m kh¾p thiªn h¹ kh«ng thÊy Hîp Hoan T¸n
general	Hoa S¬n TuyÕt Liªn l¹i xuÊt hiÖn
general	Hoµng Kim Qu¶ ë t¹i nói Tr­êng B¹ch
general	§µo Hoa Nguyªn xuÊt hiÖn cao thñ
general	YÕn Tö §éng xuÊt hiÖn cao thñ
general	KiÕm C¸c Thôc §¹o xuÊt hiÖn cao thñ
general	C¸i Bang xuÊt hiÖn cao thñ
general	Nga Mi xuÊt hiÖn cao thñ
general	ThiÕu L©m xuÊt hiÖn cao thñ
general	Thiªn V­¬ng xuÊt hiÖn cao thñ
general	Ngò §éc xuÊt hiÖn cao thñ
general	§­êng M«n xuÊt hiÖn cao thñ
general	Thóy Yªn xuÊt hiÖn cao thñ
general	Thiªn NhÉn xuÊt hiÖn cao thñ
general	C«n L«n xuÊt hiÖn cao thñ
general	Vò Hån xuÊt hiÖn cao thñ
general	Tiªu Dao xuÊt hiÖn cao thñ
general	Hoa S¬n xuÊt hiÖn cao thñ
general	Ngùa quı t×m thÊy t¹i Ba L¨ng HuyÖn
general	Ngùa quı t×m thÊy t¹i Long TuyÒn Th«n
general	Ngùa quı t×m thÊy t¹i Giang T©n Th«n 
general	Ngùa quı t×m thÊy t¹i VÜnh L¹c Th«n
general	Ngùa quı t×m thÊy t¹i Long M«n TrÊn
general	Ngùa quı t×m thÊy t¹i Chu Tiªn TrÊn
general	Cã ®¸nh nhau lín t¹i BiÖn Kinh
general	Cã ®¸nh nhau lín t¹i Thµnh §«
general	Cã ®¸nh nhau lín t¹i D­¬ng Ch©u
general	Cã ®¸nh nhau lín t¹i §¹i Lı
general	Cã ®¸nh nhau lín t¹i Ph­îng T­êng
general	Cã ®¸nh nhau lín t¹i L©m An
general	Cã ®¸nh nhau lín t¹i T­¬ng D­¬ng
general	ChØ lµ tiÓu ®¶ tiÓu nh¸o
general	Thu mua HuyÒn ThiÕt!
general	Thu mua Tinh Hång B¶o Th¹ch!
general	Thu mua Thñy Tinh C¸c Lo¹i!
general	Thu mua Bİ Kİp c¸c ph¸i!
general	Thu mua HuyÒn Tinh!
general	Thu mua Tµng B¶o §å!
general	Thu mua Vò Khİ Hót Hİt!
general	Thu mua Giµy TDDC!
general	Thu mua Ngùa Quı!
general	Thu mua ®å PTVL!
general	Thu mua ®an d­îc!
general	Thu mua ®å Hoµng Kim C¸c Ph¸i!
general	B¸n HuyÒn ThiÕt, ai quan t©m ®Õn xem!
general	B¸n Tinh Hång B¶o Th¹ch, ai quan t©m ®Õn xem!
general	B¸n Thñy Tinh C¸c Lo¹i, ai quan t©m ®Õn xem!
general	B¸n Bİ Kİp c¸c ph¸i, ai quan t©m ®Õn xem!
general	B¸n HuyÒn Tinh, ai quan t©m ®Õn xem!
general	B¸n Tµng B¶o §å, ai quan t©m ®Õn xem!
general	B¸n Vò Khİ Hót Hİt, ai quan t©m ®Õn xem!
general	B¸n Giµy TDDC, ai quan t©m ®Õn xem!
general	B¸n Ngùa Quı, ai quan t©m ®Õn xem!
general	B¸n ®å PTVL, ai quan t©m ®Õn xem!
general	B¸n ®an d­îc, ai quan t©m ®Õn xem!
general	B¸n ®å Hoµng Kim C¸c Ph¸i, ai quan t©m ®Õn xem!
general	Ng­¬i thËt giµu cã
general	C¸i ta thiÕu nhÊt lµ thêi gian
general	§õng ®ïa n÷a
general	H¶o huynh ®Ö
general	Kh«ng say kh«ng vÒ
general	ChØ lo ch¬i, kh«ng lo lµm ¨n
general	Ng­¬i thËt l­êi biÕng
general	Suèt ngµy ®Ö ta chØ lo ¨n ch¬i
general	Giµ råi mµ kh«ng nªn nÕt
general	Bí ng­êi ta, ¨n v¹
general	Sao ng­¬i ®ông ta
general	C« n­¬ng, ta muèn trªn ng­¬i
general	§õng gië giäng l­u manh
general	Thiªn h¹ nµy kh«ng cßn chç dung ta
general	Cã thÓ lµ do ta mÖt mái
general	Sèng tİch cùc lªn míi ®­îc
general	MiÖt mµi quay tay, vËn may sÏ ®Õn
general	Kh«ng tåi... kh«ng tåi
general	M×nh thËt may m¾n
general	Ta sÏ h¶o h¶o chiÕu cè ®Ö
general	Ta chØ cã 1 ng­êi s­ tû
general	MÉu th©n, ta m­ín lËp gia ®×nh a
general	§i t×m c¸i nµng d©u
general	Ta tù hµo vÒ gia ®×nh cña m×nh
general	Sèng ph¶i biÕt tiÕt kiÖm
general	C¸i g× kh«ng cÇn th× ®õng mua
general	Huynh ®Ó tèt, ®õng ®Ó mÊt ®i
general	Nghe nãi thÇn tiªn lµ cã thËt
general	Ta muèn tu tiªn
general	Ta muèn m¹nh h¬n
general	Tiªu cùc... ®ã kh«ng ph¶i lµ c¸ch cña ta
general	Hång trÇn mu«n mµu a
general	Bµn tay cña ng­¬i thËt l¹nh
general	H«m nay HiÖu Thuèc nghØ
general	H«m nay TiÖm T¹p Hãa nghØ
general	H«m nay Xa Phu nghØ
general	H«m nay TiÒn Trang nghØ
general	H«m nay D· TÈu nghØ
general	H«m nay Vâ S­ nghØ
general	H«m nay Tiªu S­ nghØ
general	Nh­ vËy lµ qu¸ ®ñ råi
general	H«m nay ta cïng ng­¬i tíi s¸ng
general	Cµy hoµi mµ kh«ng xong
general	Ng­¬i tu luyÖn ®Õn ®©u råi
general	§i mua 3 c©n g¹o
general	§i mua 1 miÕng thŞt ba chØ
general	§i mua 2 con c¸
general	§i mua 3 con gµ
general	§i mua İt ®­êng
general	§i mua b×nh r­îu
general	R­îu N÷ Nhi Hång thËt th¬m
general	Töu l©u BiÖn Kinh míi më
general	Töu l©u D­¬ng Ch©u míi më
general	Töu l©u T­¬ng D­¬ng míi më
general	Töu l©u §¹i Lı míi më
general	Töu l©u Thµnh §« míi më
general	Töu l©u Ph­îng T­êng míi më
general	Töu l©u L©m An míi më
general	§õng v× mét chuyÖn kh«ng ®¸ng ®Ó nhí
general	Mét khi ®· quyÕt, ®õng hèi hËn
general	M¾t ta mê råi
general	Míi ®©y ®· gÇn tèi råi sao
general	Míi ®©y ®· gÇn s¸ng råi sao
general	Mïa ®«ng ®· ®Õn
general	Mïa h¹ ®· ®Õn
general	Mïa thu ®· ®Õn
general	Mïa xu©n ®· ®Õn
general	§­êng phè thËt s¹ch sÏ
general	N­íc s«i, tr¸nh ra
general	CÊp b¸o, cÊp b¸o...
general	Nhanh nhanh, tranh ®­êng
general	Bµ mô nhanh lªn a
general	Kh«ng thÓ lµm nh­ vËy ®­îc
general	Ta vèn kh«ng ®Şnh lµm vËy
general	Ta muèn mua ¸o míi
general	Ta muèn mua ngùa míi
general	Ta muèn mua nãn míi
general	Ta muèn mua hé uyÓn míi
general	Ta muèn mua ®ai l­ng míi
general	Ta muèn mua vò khİ míi
general	Ta muèn mua ngäc béi míi
general	Ta muèn mua d©y chuyÒn míi
general	Ta muèn mua phi phong míi
general	Ta muèn mua Thæ §Şa Phï míi
general	Ta thİch c¸i ¸o ®ã
general	Ta thİch c¸i ngùa ®ã
general	Ta thİch c¸i nãn ®ã
general	Ta thİch c¸i hé uyÓn ®ã
general	Ta thİch c¸i ®ai l­ng ®ã
general	Ta thİch c¸i vò khİ ®ã
general	Ta thİch c¸i ngäc béi ®ã
general	Ta thİch c¸i d©y chuyÒn ®ã
general	Ta thİch c¸i phi phong ®ã
general	Ta thİch c¸i Thæ §Şa Phï ®ã
general	Qu¸ tuyÖt vêi!
general	M¸u nµy kh«ng ®ñ xµi
general	TiÒn ®©u mµ ®Ó dµnh
general	TiÒn ®©u mµ c­íi nµng ®©y
general	TiÒn ®©u mµ mua ¸o míi
general	TiÒn ®©u mµ mua ngùa míi
general	TiÒn ®©u mµ mua nãn míi
general	TiÒn ®©u mµ mua hé uyÓn míi
general	TiÒn ®©u mµ mua ®ai l­ng míi
general	TiÒn ®©u mµ mua vò khİ míi
general	TiÒn ®©u mµ mua ngäc béi míi
general	TiÒn ®©u mµ mua d©y chuyÒn míi
general	TiÒn ®©u mµ mua phi phong míi
general	TiÒn ®©u mµ mua Thæ §Şa Phï míi
general	ThËt khã xö a
general	Ng­¬i cã b¸n ¸o cña ng­¬i kh«ng?
general	Ng­¬i cã b¸n ngùa cña ng­¬i kh«ng?
general	Ng­¬i cã b¸n nãn cña ng­¬i kh«ng?
general	Ng­¬i cã b¸n hé uyÓn cña ng­¬i kh«ng?
general	Ng­¬i cã b¸n ®ai l­ng cña ng­¬i kh«ng?
general	Ng­¬i cã b¸n vò khİ cña ng­¬i kh«ng?
general	Ng­¬i cã b¸n ngäc béi cña ng­¬i kh«ng?
general	Ng­¬i cã b¸n d©y chuyÒn cña ng­¬i kh«ng?
general	Ng­¬i cã b¸n phi phong cña ng­¬i kh«ng?
general	Ng­¬i cã b¸n Thæ §Şa Phï cña ng­¬i kh«ng?
general	Nãi kh«ng chŞu nghØ lu«n
general	Míi bŞ s­ phô ph¹t diÖn bİch
general	Cöu chØ cÇm ma thËt lµ lîi h¹i
general	ThiÕu L©m §ao thËt lµ lîi h¹i
general	ThiÕu L©m QuyÒn thËt lµ lîi h¹i
general	ThiÕu L©m Bæng thËt lµ lîi h¹i
general	Thiªn V­¬ng Th­¬ng thËt lµ lîi h¹i
general	Thiªn V­¬ng §ao thËt lµ lîi h¹i
general	Thiªn V­¬ng Chïy thËt lµ lîi h¹i
general	§­êng M«n BÉy thËt lµ lîi h¹i
general	§­êng M«n Phi §ao thËt lµ lîi h¹i
general	§­êng M«n Phi Tiªu thËt lµ lîi h¹i
general	Ngò §éc Ch­ëng thËt lµ lîi h¹i
general	Ngò §éc §ao thËt lµ lîi h¹i
general	Thóy Yªn §ao thËt lµ lîi h¹i
general	Thóy Yªn Song §ao thËt lµ lîi h¹i
general	Thóy Yªn §ao thËt lµ lîi h¹i
general	Nga Mi KiÕm thËt lµ lîi h¹i
general	Nga Mi Ch­ëng thËt lµ lîi h¹i
general	C¸i Bang Bæng thËt lµ lîi h¹i
general	C¸i Bang Ch­ëng thËt lµ lîi h¹i
general	Thiªn NhÉn §ao thËt lµ lîi h¹i
general	Thiªn NhÉn Th­¬ng thËt lµ lîi h¹i
general	Vâ §ang KiÕm thËt lµ lîi h¹i
general	Vâ §ang Ch­ëng thËt lµ lîi h¹i
general	C«n L«n Bïa thËt lµ lîi h¹i
general	C«n L«n KiÕm thËt lµ lîi h¹i
general	C«n L«n §ao thËt lµ lîi h¹i
general	Vò Hån §ao thËt lµ lîi h¹i
general	Vò Hån ThuÉn thËt lµ lîi h¹i
general	Hoa S¬n KiÕm thËt lµ lîi h¹i
general	Hoa S¬n Ch­ëng thËt lµ lîi h¹i
general	Tiªu Dao KiÕm thËt lµ lîi h¹i
general	Tiªu Dao CÇm thËt lµ lîi h¹i
general	M¹c cao QuËt phong c¶nh h÷u t×nh a
general	Hoa S¬n phong c¶nh h÷u t×nh a
general	M¹n B¾c Th¶o Nguyªn phong c¶nh h÷u t×nh a
general	§µo Hoa Nguyªn phong c¶nh h÷u t×nh a
general	§¶o TÈy Tñy phong c¶nh h÷u t×nh a
general	Háa Lang §éng phong c¶nh h÷u t×nh a
general	TiÒn b¹c lµ vËt ngoµi th©n
general	Trêi kh«ng phô lßng ng­êi
general	ThØnh tho¶ng cÇn tÜnh t©m
general	Kh«ng quan t©m
general	MÆc kÖ tÊt c¶
general	Ch¾c g¸c kiÕm tõ ®©y
general	ThiÕu ı chİ chiÕn ®Êu
general	Cuéc sèng thËt buån ch¸n
general	Cø hay giËn hên vu v¬
general	Kh«ng biÕt lµm thÕ nµo cho ®óng
general	KÌo nhËu nhiÒu qu¸
general	Kh«ng thİch l¾ng nghe
general	Gi¶i quyÕt nh÷ng sai lÇm ®· x¶y ra
general	C¶m ¬n mäi ng­êi rÊt nhiÒu
general	Nguyªn nh©n chİnh lµ nh­ thÕ
general	Muèn sôp ®æ
general	§· kh«ng biÕt lÇn thø mÊy hái
general	Nµng sím muén g× còng nghÜ ®Õn
general	BÇu trêi h«m nay thËt nhiÒu sao
general	Ng­¬i ®ang nh×n c¸i g×
general	§¸ng tiÕc, ng­¬i kh«ng ph¶i ta
general	Ch­a tíi giê më cöa
general	Giã m¸t qu¸
general	§i TiÓu Tróc L©m
general	V« t×nh th­îng thiªn a
general	Ng­¬i tíi ®©y lµm g×
general	Ta sî ng­¬i l¹nh
general	Ta kh«ng sî l¹nh
general	N÷ ®Õ khãc, 2 m¾t ®Ém lÖ
general	Tay h¾n thËt Êm ¸p
general	Kh«ng ph¶i do ta nãi
general	ThËt khã xö
general	ThËt xÊu hæ
general	§iÒm tØnh ®Õn kh«ng nãi g×
general	T©m sÏ kh«ng ®æi
general	CÇn 1 c¬ héi
general	C¸i nµy ®ªm thËt dµi
general	C¬m nµy thËt ngon a
general	§ang m¬ mµng c¸i g× ®ã
general	BÇu kh«ng khİ cã chót quû dŞ
general	S¾c mÆt ®en tèi v« cïng
general	Chíp ®«i m¾t ®Ñp
general	Cã kh¶ n¨ng!
general	Ng­¬i thËt lµ mét c¸i nh©n tµi a
general	ChØ cßn 30 n¨m
general	MÆt ta kh«ng İt nÕp nh¨n a
general	Cµn kh«n muèn thay ®æi
general	C¸i nµy ®©y lµ thÕ nµo
general	§¹i khİ bµng b¹c
general	Uy chÊn cöu thiªn
general	NghÜ ®Õn mí ®Çu, kh«ng ngê ®Õn kÕt qu¶
general	ThËt nghŞch thiªn cÊm kş
general	Kh«ng ph¶i lµ ngÉu nhiªn
general	§Õn tét cïng lµ thiÕu thø g×
general	Lµm sao h¾n cã thÓ tİnh xa nh­ vËy
general	HÕt th¶y ®· kh«ng träng yÕu
general	Lu©n håi triÖt ®Ó ®o¹n tuyÖt
general	1 ng­êi kh«ng lµm ®­îc
general	H¾n chİnh lµ chñ ®éng, ta l¹i bŞ ®éng
general	Tr¶ gi¸ chİnh lµ lo¹i nµo ®¹i giíi ®©u
general	Ta muèn ®¸nh ph¸ cÊm kş
general	Chí sî
general	B©y giê míi biÕt c¸i g× gäi lµ hi väng
general	§· kh«ng x¸c ®Şnh
general	Tang th­¬ng kh«ng chŞu næi
general	TiÒn bèi, ta cã tµi ®øc g×
general	ThËt kh«ng d¸m tin t­ëng
general	Ch¼ng qua lµ hi väng kĞo dµi
general	§Ñp nh­ th¸i d­¬ng
general	H¾n cuèi cïng ®· hãa diÖt
general	DÇn dÇn ®i h­íng kÕt thóc
general	Lµm sao cã thÓ
general	§Òu ho¶ng sî
general	Lµ cã bao nhiªu ®¸ng sî
general	1 kh«ng ®ñ, liÒn 2
general	§Òu kh«ng trän vÑn
general	Giät n­íc m¾t ®Òu ch­a hong kh«
general	Kh«ng biÕt ®ang hái ai
general	Ch­a bao giê b×nh tÜnh nh­ vËy
general	V× c¸i g× ta kh«ng thÓ lµm ®Õ
general	B×nh tÜnh h¾n lµ ®¸ng sî nhÊt
general	Lµm ng­êi run sî
general	Cuèi cïng còng thµnh c«ng
general	Khã tr¸ch a
general	Xem xĞt mµ giËt m×nh
general	Kh«ng cÇn nh­ vËy phiÒn to¸i
general	V¹n chóng chó môc a
general	Cµng giµ cµng m¹nh
general	V¹n cæ kh«ng mét
general	Qu¸ c­êng thŞnh
general	¶o qu¸ ¶o
general	VÊn ®Ò kh«ng lín
general	Kh«ng cã chót nµo hoµi nghi
general	H¾n chİnh lµ thÇn tho¹i sèng
general	§Òu ë trªn ®­êng ®Õn
general	T©m thÇn nãi nhãi
general	Lªn nh­ diÒu gÆp giã
general	Víi h¾n mµ nãi lµ c¬ duyªn t¹o hãa
general	Coi th­êng chóng sinh a
general	Cã trêi míi biÕt
general	Lµ thËt kh«ng biÕt
general	Ai còng ch­a thÊy qua
general	Ch­a chõng cßn cã ¸c h¬n
general	§Òu nh­ vËy däa ng­êi
general	ThÇn s¾c còng ®Òu ho¶ng hèt
general	Nh­ trong dù liÖu
general	Qu¸ quen thuéc bãng l­ng
general	Lu«n cã c¶m gi¸c kú qu¸i
general	Bãng ng­êi kia thËt xinh ®Ñp
general	Xem nh­ chÊp nhËn
general	CÇn cã ı t­
general	ThÕ nh©n ®Òu chê mong
general	Mäi ng­êi ®Òu ®Õn
general	ThÕ nh©n ¸nh m¾t ®Òu r¹ng rì
general	C¸i nµy ®Òu cã chót méng bøc
general	Cã chót bİ mËt
general	Kh«ng cã t­ c¸ch ®Ó biÕt
general	Kh«ng thÓ nghi ngê
general	Tùa nh­ nh×n ra m¸nh khãe
general	Nh­ thÕ nµo nh­ thÕ
general	N­íc m¾t l­ng trßng
general	Nªn minh b¹ch
general	L¹i v« thÇn trİ
general	§¹i biÓu th­îng thiªn ı chİ
general	Thæn thøc th× thæn thøc
general	Kh«ng thÕ nµo tù nhiªn ®­îc
general	Tuæi thä ®ang c¹n dÇn
general	Phong hoa tuyÖt ®¹i
general	RÊt cã s¾c th¸i truyÒn k×
general	ThËt thËt ®Ñp m¾t
general	C¶m gi¸c cã phÇn kh«ng ch©n thËt
general	ThËt thËt nÓ t×nh
general	Lµ h¾n ta qu¸ kinh diÔm
general	V« cïng n¸o nhiÖt
general	Ai ®Õn ®Òu kh«ng tèt dïng
general	Lµm lßng ng­êi run sî
general	§i kia ®îi th«i
general	§õng lµm rén, c¸i nµy ®ñ
general	TuyÖt lÇn ®Çu tiªn nh×n thÊy
general	ChØ v× h¾n qu¸ kinh diÔm
general	Song quyÒn nan ®Şch tø thñ
general	TriÖt ®Ó hçn lo¹n
general	Muèn sôp ®æ
general	Kh«ng biÕt cã nhiÒu İt ng­êi gÆp n¹n
general	SÏ ch©n chİnh an æn
general	Kh«ng thÊy kh«ng râ ai lµ ai
general	1 ng­êi ®éc chiÕn tr¨m ng­êi
general	QuÇn Èu cã quÇn Èu ®©u ph¸p
general	§éc chiÕn cã ®éc chiÕn ®Êu ph¸p
general	ThËt lµ cã bao nhiªu c­êng ®¹i
general	Qu©n l©m thiªn h¹
general	ThËt lóng tóng
general	Sao ng­¬i l¹i hái ta
general	Kh«ng biÕt ®· vÒ nhµ ch­a
general	Thµnh thËt ®i
general	H¸t cho ta nghe ®i
general	MÆt ng­¬i dİnh g× k×a
general	T©m ı ng­¬i, ta nhËn
general	Mang vÒ nhµ dïng ®i
general	T­ëng kh«ng yªu nh­ng yªu kh«ng t­ëng
general	XÊu hæ th× xÊu hæ
general	Cuèi cïng lµ ®Õn
general	Nhu t×nh nh­ n­íc
general	V¹n niÖm bªn trong cã vÜnh h»ng
general	Toµn c¶nh lµ tang th­¬ng
general	Tùu nhí râ
general	Trong m¾t trµn ®Çy lÖ quang
general	Cßn sÏ cã 1 trËn chiÕn
general	§»ng sau cßn cã kiÕp sè
general	§Ì nĞn thë kh«ng næi
general	1 tiÕng nghÑn ngµo
general	BŞ cho leo c©y råi
general	Lêi nµy nãi rÊt cã tr×nh ®é
general	Kh«ng ®ñ sè a
general	C¸i nµy ®­îc nÌ
general	§ang trªn ®­êng tíi
general	Ta muèn ¨n kem
general	Ta muèn ¨n xoµi
general	Ta muèn ¨n d­a hÊu
general	Ta muèn ¨n tµu hñ
general	Ta muèn ¨n kÑo
general	Ta muèn ¨n møt qu¶
general	Ta muèn ¨n c¬m
general	Ta kh¸t n­íc
general	Ta thÌm ngät
general	Ta muèn ¨n tr¸i c©y
general	Ta muèn ¨n ng­¬i
general	Ta muèn ¨n lÈu
general	Ta muèn ¨n m×
general	Ta muèn ¨n m× kh«
general	Ta muèn ¨n d©u
general	Ta muèn ¨n tr¸i ®µo
general	Ta muèn ¨n chuèi
general	Ta muèn ¨n ch©n gµ
general	Ta muèn ¨n x«i
general	Ta muèn ¨n hét vŞt lén
general	Ta muèn ¨n kh« c¸
general	Ta muèn ¨n hét gµ n­íng
general	Ta muèn ¨n kh« mùc
general	Ta muèn ¨n canh chua
general	Ta muèn ¨n ®å n­íng
general	Ta muèn ¨n c¸ chiªn
general	Ta muèn ¨n rau luéc
general	Ta muèn ¨n kim chi
general	Ta muèn ¨n cµ ph¸o
general	Ta muèn ¨n thŞt chã
general	Ta muèn ¨n gµ ñ muèi
general	Ta muèn ¨n gµ luéc
general	Ta muèn ¨n vŞt quay
general	Ta muèn ¨n gµ r¸n
general	Ta muèn ¨n trøng chiªn
general	Ta muèn ¨n t«m n­íng
general	Ta muèn ¨n t«m luéc
general	Ta muèn ¨n thŞt heo x«ng khãi
general	Ta muèn ¨n thŞt tr©u g¸c bÕp
general	Ta muèn ¨n mËt ong
general	Ta muèn ¨n m¨ng côt
general	Ta muèn ¨n ch«m ch«m
general	Ta muèn ¨n trøng luéc
general	Ta muèn ¨n b¸nh tr¸ng trén
general	Ta muèn ¨n x«i mÆn
general	Ta muèn ¨n c¬m nÕp
general	Ta muèn ¨n b¾p luéc
general	Ta muèn ¨n bón bß
general	Ta muèn ¨n bón c¸
general	Ta muèn ¨n nem n­íng
general	Ta muèn ¨n c¬m s­ên
general	Ta muèn ¨n b¸nh canh cua
general	Ta muèn ¨n cua hÊp
general	Ta muèn ¨n cua rang muèn
general	Ta muèn ¨n mùc chiªn ­íc m¾m
general	Ta muèn ¨n nghª hÊp x¶
general	Ta muèn ¨n cua hoµng ®Õ
general	Ta muèn ¨n èc len hÊp dõa
general	Ta muèn ¨n èc b­u luéc
general	Ta muèn ¨n èc g¹o
general	Ta muèn ¨n lÈu bß
general	Ta muèn ¨n ph¸ lÊu
general	Ta muèn ¨n ruét kh×a
general	Ta muèn ¨n thŞt kho tiªu
general	Ta muèn ¨n canh c¶i tr¾ng
general	Ta muèn ¨n b¸nh m× thŞt
general	Ta muèn ¨n b¸nh m× xİu m¹i
general	Ta muèn ¨n b¸nh m× èp la
general	Ta muèn ¨n thŞt muèi chiªn
general	Ta muèn ¨n c¸ kho tiªu
general	Ta muèn ¨n Thiªn S¬n TuyÕt Liªn
general	Ta muèn ¨n qu¶ Huy Hoµng
general	Ta muèn ¨n rau xµo
general	Ta muèn uèng n­íc
general	Ta muèn uèng r­îu
general	Ta muèn uèng n­íc Ğp
general	Ta muèn uèng s÷a
general	Ta muèn uèng trµ
general	Ta muèn uèng s©m bæ l­îng
general	Ta muèn uèng yÕn ch­ng
general	Ta muèn uèng n­íc mİa
general	Ta muèn uèng Tiªn Th¶o Lé
general	Ta muèn uèng n­íc suèi
general	Ta muèn uèng n­íc g¹o
general	Ta muèn uèng n­íc canh
general	Ta muèn uèng N÷ Nhi Hång
general	Ta muèn uèng B¸ch Hoa Töu
general	Ta muèn uèng Quúnh Hoa Ngäc Lé
general	Ta muèn uèng n­íc tiÓu ®ång tö
general	Ta muèn uèng n­íc ngät
general	Ta muèn uèng n­íc chanh
general	Ta muèn uèng n­íc l¹nh
